Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
TIIL,EQ,2959.9,1.19,6710.92,0.11,3.18
MAXIND,EQ,262.5,1.61,1133.23,1.21,3.13
HDFCNIFTY,EQ,272,0.77,3675.55,1.15,3.08
SELAN,EQ,791.2,1.49,1202.62,0.39,3.03
VIMTALABS,EQ,557,1.55,1234.9,0.54,2.99
RPEL,EQ,1320.45,0.25,3030.78,0.23,2.91
GHCLTEXTIL,EQ,89,0.01,850.71,3.32,2.82
SIRCA,EQ,309,0.11,1693.59,0.94,2.81
NARMADA,EQ,15.3,0.92,58.04,18.45,2.79
ASHIANA,EQ,303.5,0.03,3050.93,0.92,2.78
EVERESTIND,EQ,990.1,1.68,1566.33,0.29,2.77
VENUSREM,EQ,324.5,0.7,433.76,0.82,2.7
CLSEL,EQ,307,0.05,1526.58,0.88,2.63
TARSONS,EQ,406,1.35,2160.18,0.65,2.62
679GS2027,GS,103.27,1.79,124956.7,2.5,2.58
TTKPRESTIG,EQ,844,0.08,11558.36,0.31,2.56
VIESL,SM,167.3,3.27,412.27,1.5,2.5
QUAL30IETF,EQ,22.25,0.91,113.89,10.69,2.34
EBBETF0425,EQ,1248.07,0.09,10840.9,0.18,2.3
LANDMARK,EQ,603.55,0.57,2494.53,0.38,2.29
NACLIND,EQ,54.2,3.02,1079.5,3.9,2.14
TRIDHYA,SM,39.3,2.48,91.52,5.49,2.1
NV20BEES,EQ,158.6,0.09,175.49,1.32,2.08
RUSTOMJEE,EQ,689.45,0.69,8687.98,0.31,2.06
TREL,EQ,40.35,5.66,991.38,5.36,2.05
SHIVALIK,EQ,530,1.37,824.7,0.39,2.03
EBANKNIFTY,EQ,52.24,0.5,14.11,3.91,1.97
GROWWLIQID,EQ,100.66,0.06,52.39,1.91,1.92
AVG,EQ,477.2,3.3,651.75,0.4,1.88
CYBERTECH,BE,219,1.04,681.76,0.86,1.86
CUPID,BE,75.05,0.11,1107.7,2.49,1.81
SCHAND,EQ,208,0.07,732.52,0.88,1.8
AUTOIND,EQ,108,2.8,420.8,1.73,1.8
ASAL,EQ,708,1.42,1123.2,0.26,1.8
MASPTOP50,EQ,45.01,0.83,758.98,3.84,1.72
EBBETF0431,EQ,1277.26,0.04,13993.9,0.13,1.71
RISHABH,EQ,341.95,1.06,1306.9,0.52,1.71
UTSSAV,ST,198,0.71,471.6,0.86,1.7
AUSOMENT,EQ,158.75,7.3,216.27,1.06,1.64
UNIDT,EQ,253,1.77,513.67,0.66,1.63
MANAKSTEEL,EQ,67.99,3.42,445.57,2.46,1.62
SIS,EQ,386.6,0.89,5572.99,0.42,1.61
HVAX,SM,601,6.85,166.89,0.28,1.6
DIVGIITTS,EQ,602.3,0.28,1842.01,0.26,1.6
VIVIANA,ST,760,3.4,453.72,0.2,1.57
GILT5YBEES,EQ,58.18,0.14,183.59,2.58,1.5
ACCENTMIC,SM,258.3,6.54,543.54,0.59,1.49
SKMEGGPROD,EQ,245.3,1.09,645.87,0.59,1.42
JSLL,SM,1596.9,1.06,3969.92,0.09,1.39
LYKALABS,EQ,135.9,0.1,485.03,1.02,1.35
AURUM,BE,198.95,3.51,580.73,0.7,1.35
LEMERITE,ST,218.5,3.21,513.06,0.62,1.34
SILVERTUC,EQ,718,0.11,910.5,0.18,1.3
SIGIND,EQ,67.8,3.35,199.58,1.98,1.29
SGIL,EQ,345,0.33,536.23,0.38,1.29
CHEMBOND,EQ,569,2,765.21,0.24,1.29
GKWLIMITED,EQ,3029,1.23,1807.25,0.04,1.25
AVPINFRA,ST,125.35,4.98,313.11,1.02,1.22
NINSYS,EQ,540,0.05,1003.1,0.22,1.19
MIDCAP,EQ,160.33,0.41,40.26,0.74,1.17
AUTOAXLES,EQ,1788,0.26,2702.02,0.07,1.17
GROWWDEFNC,EQ,62.5,0.73,65.26,1.92,1.16
RMDRIP,ST,287.75,4.98,718.8,0.4,1.15
SYSTANGO,SM,246.5,7.34,361.59,0.48,1.13
TUNWAL,SM,42.75,3.76,236.41,2.68,1.1
AISL,ST,181,3.49,187.37,0.65,1.08
WEALTH,BE,1559,3.02,1661.11,0.07,1.07
DECCANCE,EQ,574.95,2.12,805.36,0.18,1.03
INDORAMA,EQ,39.95,0.4,1043.15,2.57,1.02
PRLIND,SM,113.3,5.49,259.03,0.96,1.01
NILKAMAL,EQ,1850,0.47,2760.67,0.05,0.99
KRITIKA,BE,12.09,0.25,321.93,8.32,0.99
BEDMUTHA,EQ,210.94,0.52,680.57,0.46,0.98
PROZONER,EQ,23,2.91,350.99,4.47,0.97
MANAKSIA,EQ,91,0.03,596.36,1.07,0.97
URBAN,ST,454,1.76,196.58,0.2,0.92
HEALTHY,EQ,14.7,0.75,39.9,6,0.88
GOKUL,EQ,53.29,2.86,527.54,1.66,0.86
VINYAS,ST,792.85,0.62,997.78,0.1,0.82
MANCREDIT,EQ,137.95,1.34,269.89,0.59,0.8
VINNY,BE,1.84,4.55,85.61,44.15,0.79
MANORG,BE,518.85,4.91,444.37,0.16,0.77
SUNLITE,SM,175.5,1.45,190.94,0.43,0.76
DMCC,EQ,265,4.56,660.91,0.29,0.75
BCONCEPTS,EQ,565,2.47,633.81,0.13,0.73
